Date,Currency,Rate
02-10-2025,USD,129.4346
02-10-2025,EUR,152.0598
02-10-2025,GBP,174.6638
02-10-2025,JPY,88.0118
02-10-2025,CNY,18.1802
02-10-2025,CHF,162.5042
02-10-2025,CAD,92.8679
02-10-2025,DKK,20.3714
02-10-2025,SEK,13.8437
02-10-2025,NOK,13.0648
02-10-2025,AED,35.239
02-10-2025,SAR,34.5132
02-10-2025,KWD,423.4733
02-10-2025,TND,44.4869
02-10-2025,MAD,14.2303
02-10-2025,LYD,23.9598
02-10-2025,MRU,3.2465
02-10-2025,SDR,177.4514
03-10-2025,USD,129.4867
03-10-2025,EUR,151.985
03-10-2025,GBP,174.299
03-10-2025,JPY,87.8591
03-10-2025,CNY,18.1875
03-10-2025,CHF,162.4167
03-10-2025,CAD,92.7323
03-10-2025,DKK,20.3533
03-10-2025,SEK,13.7916
03-10-2025,NOK,12.9992
03-10-2025,AED,35.2537
03-10-2025,SAR,34.5261
03-10-2025,KWD,423.3667
03-10-2025,TND,44.4041
03-10-2025,MAD,14.2286
03-10-2025,LYD,23.9619
03-10-2025,MRU,3.2535
03-10-2025,SDR,177.7041
